strain,sex,animal_id,study,treatment,days_post_infection,bw_d0,bw_d3,bw_d6,bw_d8,bw_d9,bw_d10,bw_d11,bw_d12,bw_d13,bw_d14,bw_d17,bw_d20,bw_d23,bw_d26,clin_score_d0,clin_score_d3,clin_score_d6,clin_score_d8,clin_score_d9,clin_score_d10,clin_score_d11,clin_score_d12,clin_score_d13,clin_score_d14,clin_score_d17,clin_score_d20,clin_score_d23,clin_score_d26,CD4_brain_d7,CD4_brain_d12,CD4_brain_d21,CD4_brain_d28,CD4_spleen_d7,CD4_spleen_d12,CD4_spleen_d21,CD4_spleen_d28,Treg_brain_d7,Treg_brain_d12,Treg_brain_d21,Treg_brain_d28,Treg_spleen_d7,Treg_spleen_d12,Treg_spleen_d21,Treg_spleen_d28,CD8_brain_d7,CD8_brain_d12,CD8_brain_d21,CD8_brain_d28,CD8_spleen_d7,CD8_spleen_d12,CD8_spleen_d21,CD8_spleen_d28,NS4b_brain_d7,NS4b_brain_d12,NS4b_brain_d21,NS4b_brain_d28,NS4b_spleen_d7,NS4b_spleen_d12,NS4b_spleen_d21,NS4b_spleen_d28,WNV_IgM_d7,WNV_IgM_d12,WNV_IgM_d21,WNV_IgM_d28,WNV_brain_d4,WNV_brain_d7,WNV_brain_d12,WNV_kidney_d2,WNV_kidney_d4,WNV_kidney_d7,WNV_kidney_d12,WNV_spleen_d2,WNV_spleen_d4,WNV_spleen_d7,WNV_spleen_d12,Ifnb1_brain_d4,Ifnb1_brain_d7,Ifnb1_brain_d12,Ifnb1_kidney_d2,Ifnb1_kidney_d4,Ifnb1_kidney_d7,Ifnb1_kidney_d12,Ifnb1_spleen_d2,Ifnb1_spleen_d4,Ifnb1_spleen_d7,Ifnb1_spleen_d12,Ifit1_brain_d4,Ifit1_brain_d7,Ifit1_brain_d12,Ifit1_kidney_d2,Ifit1_kidney_d4,Ifit1_kidney_d7,Ifit1_kidney_d12,Ifit1_spleen_d2,Ifit1_spleen_d4,Ifit1_spleen_d7,Ifit1_spleen_d12
RIX:CC(004 x 011),m,194,adaptive,WNV,7,34.54,35.05,35.45,,,,,,,,,,,,0,0,0,,,,,,,,,,,,21.2,,,,24.4,,,,13,,,,19.1,,,,53.4,,,,41.5,,,,19.9,,,,11.9,,,,51.06153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIX:CC(004 x 011),m,213,adaptive,WNV,7,31.89,32.63,32.54,,,,,,,,,,,,0,0,0,,,,,,,,,,,,47.8,,,,67.8,,,,8.11,,,,5.17,,,,34.9,,,,19.8,,,,12.1,,,,5.52,,,,57.11322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIX:CC(004 x 011),m,214,adaptive,WNV,7,31.34,30.98,31.49,,,,,,,,,,,,0,0,0,,,,,,,,,,,,22.6,,,,67.6,,,,0,,,,4.98,,,,35.2,,,,21.3,,,,20.9,,,,6.39,,,,53.39833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIX:CC(004 x 011),m,176,adaptive,WNV,12,28.45,29.63,28.51,27.76,27.92,28.5,28.21,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,55.1,,,,66,,,,9.12,,,,5.11,,,,33.3,,,,26.7,,,,3.8,,,,1.33,,,,32.59668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIX:CC(004 x 011),m,192,adaptive,WNV,12,29.92,29.42,30.59,30.47,30.8,30.42,30.91,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,47,,,,69.6,,,,6.02,,,,4.15,,,,24.3,,,,24.8,,,,12.2,,,,1.11,,,,20.97703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIX:CC(004 x 011),m,193,adaptive,WNV,12,29.15,29.01,30.24,30.37,30.28,30.05,30.73,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,28.9,,,,67.8,,,,15.4,,,,5.17,,,,63.5,,,,25.8,,,,17.7,,,,2.26,,,,18.14628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIX:CC(004 x 011),m,219,adaptive,WNV,21,27.59,28.64,28.92,27.6,27.5,27.51,27.49,27.55,27.52,27.86,27.91,29.57,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,55.7,,,,58.7,,,,7.37,,,,7.36,,,,31.3,,,,24.1,,,,5.29,,,,2.39,,,,13.18481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIX:CC(004 x 011),m,220,adaptive,WNV,21,28.62,29.15,28.84,27.36,27,27.29,27.51,28.08,28.4,29.19,28.84,30.71,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,29.2,,,,62.1,,,,9.03,,,,6.05,,,,56.5,,,,21.4,,,,9.19,,,,4.05,,,,14.03046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIX:CC(004 x 011),m,221,adaptive,WNV,21,28.73,28.45,29.04,28.77,28.92,29.14,29.42,29.96,30.16,30.46,30.67,29.43,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,37.4,,,,61.2,,,,5.74,,,,7.16,,,,47.7,,,,21.8,,,,7.71,,,,2.02,,,,13.41287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIX:CC(004 x 011),m,178,adaptive,WNV,28,30.05,31.35,30.18,30.32,30.03,30.48,30.14,30.2,30.34,30.31,30.06,31.01,31.27,32.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,21.3,,,,63.4,,,,9.13,,,,6.16,,,,66.2,,,,17.8,,,,5.21,,,,3.79,,,,13.7919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
